fpr,tpr
1.298057867617915205e-04,3.379580146078930980e-02
1.298057867617915205e-04,3.449719807754515061e-02
1.307966706302021406e-04,3.449719807754515061e-02
1.307966706302021406e-04,3.450452610189931602e-02
1.317875544986127606e-04,3.450452610189931602e-02
1.317875544986127606e-04,3.455163482989038332e-02
1.327784383670233806e-04,3.455163482989038332e-02
1.327784383670233806e-04,3.466364891644690971e-02
1.337693222354340006e-04,3.466364891644690971e-02
1.337693222354340006e-04,3.501434722482483358e-02
1.347602061038446206e-04,3.501434722482483358e-02
1.347602061038446206e-04,3.512740817200338955e-02
1.357510899722552406e-04,3.512740817200338955e-02
1.357510899722552406e-04,3.519650097305694614e-02
1.367419738406658607e-04,3.519650097305694614e-02
1.367419738406658607e-04,3.551369974153011089e-02
1.377328577090765078e-04,3.551369974153011089e-02
1.377328577090765078e-04,3.562780754933068950e-02
1.387237415774871278e-04,3.562780754933068950e-02
1.387237415774871278e-04,3.596908411211039575e-02
1.397146254458977478e-04,3.596908411211039575e-02
1.397146254458977478e-04,3.601933342196753096e-02
1.407055093143083678e-04,3.601933342196753096e-02
1.407055093143083678e-04,3.607900447742288380e-02
1.416963931827189879e-04,3.607900447742288380e-02
1.416963931827189879e-04,3.616065960594072592e-02
1.426872770511296079e-04,3.616065960594072592e-02
1.426872770511296079e-04,3.633967277230677057e-02
1.436781609195402279e-04,3.633967277230677057e-02
1.436781609195402279e-04,3.638468777905378565e-02
1.446690447879508479e-04,3.638468777905378565e-02
1.446690447879508479e-04,3.641399987647044728e-02
1.456599286563614679e-04,3.641399987647044728e-02
1.456599286563614679e-04,3.643807767077698878e-02
1.466508125247720879e-04,3.643807767077698878e-02
1.466508125247720879e-04,3.667990247446445418e-02
1.476416963931827080e-04,3.667990247446445418e-02
1.476416963931827080e-04,3.681913493719359692e-02
1.486325802615933280e-04,3.681913493719359692e-02
1.486325802615933280e-04,3.683483784652395038e-02
1.496234641300039751e-04,3.683483784652395038e-02
1.496234641300039751e-04,3.691125867193167931e-02
1.506143479984145951e-04,3.691125867193167931e-02
1.506143479984145951e-04,3.730278454456852077e-02
1.516052318668252151e-04,3.730278454456852077e-02
1.516052318668252151e-04,3.736140873940184404e-02
1.525961157352358352e-04,3.736140873940184404e-02
1.525961157352358352e-04,3.772780995711012136e-02
1.535869996036464552e-04,3.772780995711012136e-02
1.535869996036464552e-04,3.779480903691963267e-02
1.545778834720570752e-04,3.779480903691963267e-02
1.545778834720570752e-04,3.787960474730354965e-02
1.555687673404676952e-04,3.787960474730354965e-02
