fpr,tpr
8.224336107808165124e-05,2.024523756931525739e-02
8.323424494649227126e-05,2.024523756931525739e-02
8.323424494649227126e-05,2.038551689266642625e-02
8.422512881490289128e-05,2.038551689266642625e-02
8.422512881490289128e-05,2.065665379377054980e-02
8.521601268331351130e-05,2.065665379377054980e-02
8.521601268331351130e-05,2.103771106018715795e-02
8.620689655172413131e-05,2.103771106018715795e-02
8.620689655172413131e-05,2.167629603962158147e-02
8.719778042013476488e-05,2.167629603962158147e-02
8.719778042013476488e-05,2.170037383392812297e-02
8.818866428854538490e-05,2.170037383392812297e-02
8.818866428854538490e-05,2.180715361737453617e-02
8.917954815695600492e-05,2.180715361737453617e-02
8.917954815695600492e-05,2.202280690551140785e-02
9.017043202536662494e-05,2.202280690551140785e-02
9.017043202536662494e-05,2.219553890814530972e-02
9.116131589377724496e-05,2.219553890814530972e-02
9.116131589377724496e-05,2.256717442896370371e-02
9.215219976218786498e-05,2.256717442896370371e-02
9.215219976218786498e-05,2.257764303518393703e-02
9.215219976218786498e-05,2.257973675642798578e-02
9.215219976218786498e-05,2.272106294040117727e-02
9.314308363059849855e-05,2.272106294040117727e-02
9.314308363059849855e-05,2.297126262906482724e-02
9.413396749900911856e-05,2.297126262906482724e-02
9.413396749900911856e-05,2.328950825816001810e-02
9.512485136741973858e-05,2.328950825816001810e-02
9.512485136741973858e-05,2.334080442863917595e-02
9.512485136741973858e-05,2.334289814988322123e-02
9.512485136741973858e-05,2.342560013902308946e-02
9.611573523583035860e-05,2.342560013902308946e-02
9.611573523583035860e-05,2.383282892099028785e-02
9.710661910424097862e-05,2.383282892099028785e-02
9.710661910424097862e-05,2.446513273669256860e-02
9.809750297265159864e-05,2.446513273669256860e-02
9.809750297265159864e-05,2.472580103157645537e-02
9.908838684106223221e-05,2.472580103157645537e-02
9.908838684106223221e-05,2.499693793268058239e-02
1.000792707094728522e-04,2.499693793268058239e-02
1.000792707094728522e-04,2.554339917737692353e-02
1.010701545778834722e-04,2.554339917737692353e-02
1.010701545778834722e-04,2.583547329092152067e-02
1.020610384462940923e-04,2.583547329092152067e-02
1.020610384462940923e-04,2.584489503651973136e-02
1.030519223147047123e-04,2.584489503651973136e-02
1.030519223147047123e-04,2.613906287130837724e-02
1.040428061831153323e-04,2.613906287130837724e-02
1.040428061831153323e-04,2.641229349365654955e-02
1.050336900515259659e-04,2.641229349365654955e-02
1.050336900515259659e-04,2.649813606466248569e-02
1.060245739199365859e-04,2.649813606466248569e-02
1.060245739199365859e-04,2.671064877093328599e-02
1.070154577883472059e-04,2.671064877093328599e-02
1.070154577883472059e-04,2.692420833782610892e-02
1.080063416567578259e-04,2.692420833782610892e-02
1.080063416567578259e-04,2.706448766117727778e-02
1.089972255251684459e-04,2.706448766117727778e-02
1.089972255251684459e-04,2.731992165295104788e-02
1.099881093935790660e-04,2.731992165295104788e-02
1.099881093935790660e-04,2.733143711979330731e-02
1.109789932619896995e-04,2.733143711979330731e-02
1.109789932619896995e-04,2.735132747161175826e-02
1.119698771304003195e-04,2.735132747161175826e-02
1.119698771304003195e-04,2.766852624008492301e-02
1.129607609988109396e-04,2.766852624008492301e-02
1.129607609988109396e-04,2.774075962300455445e-02
1.139516448672215596e-04,2.774075962300455445e-02
1.139516448672215596e-04,2.775018136860276513e-02
1.149425287356321796e-04,2.775018136860276513e-02
1.149425287356321796e-04,2.779938381783787771e-02
1.159334126040427996e-04,2.779938381783787771e-02
1.159334126040427996e-04,2.782450847276644532e-02
1.169242964724534332e-04,2.782450847276644532e-02
1.169242964724534332e-04,2.800142791788844121e-02
1.179151803408640532e-04,2.800142791788844121e-02
1.179151803408640532e-04,2.817834736301043710e-02
1.189060642092746732e-04,2.817834736301043710e-02
1.189060642092746732e-04,2.828198656459077545e-02
1.198969480776852932e-04,2.828198656459077545e-02
1.198969480776852932e-04,2.831339238325148583e-02
1.208878319460959133e-04,2.831339238325148583e-02
1.208878319460959133e-04,2.831653296511755721e-02
1.218787158145065333e-04,2.831653296511755721e-02
1.218787158145065333e-04,2.835212622626636161e-02
1.228695996829171533e-04,2.835212622626636161e-02
1.228695996829171533e-04,2.841284414234373362e-02
1.238604835513277733e-04,2.841284414234373362e-02
1.238604835513277733e-04,2.882949466990914270e-02
1.248513674197383933e-04,2.882949466990914270e-02
1.248513674197383933e-04,2.891429038029305967e-02
1.258422512881490405e-04,2.891429038029305967e-02
1.258422512881490405e-04,2.935815928403108510e-02
1.268331351565596605e-04,2.935815928403108510e-02
1.268331351565596605e-04,2.938537766020369799e-02
1.278240190249702805e-04,2.938537766020369799e-02
1.278240190249702805e-04,2.940108056953405144e-02
1.288149028933809005e-04,2.940108056953405144e-02
1.288149028933809005e-04,2.952356326231081809e-02
1.298057867617915205e-04,2.952356326231081809e-02
1.298057867617915205e-04,2.957067199030188193e-02
1.307966706302021406e-04,2.957067199030188193e-02
1.307966706302021406e-04,2.970152956805484010e-02
1.317875544986127606e-04,2.970152956805484010e-02
1.317875544986127606e-04,3.017156998734345577e-02
1.327784383670233806e-04,3.017156998734345577e-02
1.327784383670233806e-04,3.021553813346844822e-02
1.337693222354340006e-04,3.021553813346844822e-02
1.337693222354340006e-04,3.023228790342082778e-02
1.347602061038446206e-04,3.023228790342082778e-02
1.347602061038446206e-04,3.040083246356663216e-02
1.357510899722552406e-04,3.040083246356663216e-02
1.357510899722552406e-04,3.074315588696836452e-02
1.367419738406658607e-04,3.074315588696836452e-02
1.367419738406658607e-04,3.111479140778675850e-02
1.377328577090765078e-04,3.111479140778675850e-02
1.377328577090765078e-04,3.120482142128079214e-02
1.387237415774871278e-04,3.120482142128079214e-02
1.387237415774871278e-04,3.125297700989387861e-02
1.397146254458977478e-04,3.125297700989387861e-02
1.397146254458977478e-04,3.133986644152184087e-02
1.407055093143083678e-04,3.133986644152184087e-02
1.407055093143083678e-04,3.151259844415574274e-02
1.416963931827189879e-04,3.151259844415574274e-02
1.416963931827189879e-04,3.154609798406050186e-02
1.426872770511296079e-04,3.154609798406050186e-02
1.426872770511296079e-04,3.182456290951878736e-02
1.436781609195402279e-04,3.182456290951878736e-02
1.436781609195402279e-04,3.196065479038186219e-02
1.446690447879508479e-04,3.196065479038186219e-02
